make,year,fuel,hp,cylinders,transmission,drive ,doors,type,style,hwympg,citympg,mc_performance,mc_high_performance,mc_crossover,mc_exotic,mc_luxury,mc_flex_fuel,mc_hybrid,mc_tuned,msrp
BMW,2013,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Convertible,28,19,0,0,0,0,1,0,0,0,37200
BMW,2013,premium unleaded ,230,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,19,1,0,0,0,1,0,0,0,31500
BMW,2013,premium unleaded ,320,6,MANUAL,rear wheel drive,2,Compact,Convertible,25,18,1,1,0,0,1,0,0,0,48250
BMW,2013,premium unleaded ,320,6,MANUAL,rear wheel drive,2,Compact,Coupe,28,20,1,1,0,0,1,0,0,0,43550
FIAT,2017,premium unleaded ,160,4,MANUAL,rear wheel drive,2,Compact,Convertible,35,26,1,0,0,0,0,0,0,0,27495
FIAT,2017,premium unleaded ,160,4,MANUAL,rear wheel drive,2,Compact,Convertible,35,26,1,0,0,0,0,0,0,0,24995
FIAT,2017,premium unleaded ,160,4,MANUAL,rear wheel drive,2,Compact,Convertible,35,26,1,0,0,0,0,0,0,0,28195
BMW,2016,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,2,Compact,Coupe,35,23,1,0,0,0,1,0,0,0,32850
BMW,2016,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,2,Compact,Convertible,34,23,0,0,0,0,1,0,0,0,38650
BMW,2016,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,31,20,1,1,0,0,1,0,0,1,48750
BMW,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,2,Compact,Coupe,35,23,1,0,0,0,1,0,0,0,34850
BMW,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,2,Compact,Convertible,34,22,0,0,0,0,1,0,0,0,40650
BMW,2016,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,31,20,1,1,0,0,1,0,0,1,44150
BMW,2016,premium unleaded ,240,4,MANUAL,rear wheel drive,2,Compact,Coupe,34,22,1,0,0,0,1,0,0,0,32850
BMW,2016,premium unleaded ,320,6,AUTOMATIC,all wheel drive,2,Compact,Coupe,30,20,1,1,0,0,1,0,0,1,46150
BMW,2016,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,30,20,1,1,0,0,1,0,0,1,50750
BMW,2017,premium unleaded ,335,6,AUTOMATIC,all wheel drive,2,Compact,Coupe,31,21,1,1,0,0,1,0,0,1,46450
BMW,2017,premium unleaded ,335,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,32,21,1,1,0,0,1,0,0,1,49050
BMW,2017,premium unleaded ,335,6,AUTOMATIC,all wheel drive,2,Compact,Convertible,32,21,1,1,0,0,1,0,0,1,51050
BMW,2017,premium unleaded ,335,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,32,21,1,1,0,0,1,0,0,1,44450
BMW,2017,premium unleaded ,248,4,AUTOMATIC,rear wheel drive,2,Compact,Convertible,34,23,1,0,0,0,1,0,0,0,38950
BMW,2017,premium unleaded ,248,4,AUTOMATIC,rear wheel drive,2,Compact,Coupe,35,24,1,0,0,0,1,0,0,0,33150
BMW,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,2,Compact,Coupe,33,24,1,0,0,0,1,0,0,0,35150
BMW,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,2,Compact,Convertible,33,23,0,0,0,0,1,0,0,0,40950
Chrysler,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,25170
Chrysler,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,23950
Chrysler,2015,regular unleaded,295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,29,18,1,0,0,0,0,1,0,0,29370
Chrysler,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,21995
Chrysler,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,1,0,0,0,0,1,0,0,26625
Chrysler,2015,regular unleaded,295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,29,18,1,0,0,0,0,1,0,0,30825
Chrysler,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,21995
Chrysler,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,27795
Chrysler,2016,regular unleaded,295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,29,18,1,0,0,0,0,1,0,0,31785
Chrysler,2016,regular unleaded,295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,29,18,1,0,0,0,0,1,0,0,29905
Chrysler,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,22490
Chrysler,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,27570
Chrysler,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,25690
Chrysler,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,24490
Chrysler,2017,regular unleaded,295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,28,18,1,0,0,0,0,1,0,0,29905
Chrysler,2017,regular unleaded,295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,28,18,1,0,0,0,0,1,0,0,31785
Chrysler,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,26685
Chrysler,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,22490
Chrysler,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,25690
Chrysler,2017,regular unleaded,295,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,28,18,1,0,0,0,0,1,0,0,30900
Chrysler,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,27795
Chrysler,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,21995
Chrysler,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Midsize,Sedan,36,23,0,0,0,0,0,1,0,0,24490
Mazda,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,0,0,0,0,0,0,0,0,16020
Mazda,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,0,0,0,0,0,0,0,0,14530
Mazda,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,0,0,0,0,0,0,0,0,16860
Mazda,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,0,0,0,0,0,0,0,0,15370
Mazda,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,0,0,0,0,0,0,0,0,17050
Mazda,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,0,0,0,0,0,0,0,0,15560
Mazda,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,0,0,0,0,0,0,0,0,16210
Mazda,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,0,0,0,0,0,0,0,0,14720
Mazda,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,0,0,0,0,0,0,0,0,17050
Mazda,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Compact,4dr Hatchback,34,28,0,0,0,0,0,0,0,0,15560
Mazda,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,0,0,0,0,0,0,0,0,16210
Mazda,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Compact,4dr Hatchback,35,29,0,0,0,0,0,0,0,0,14720
BMW,2015,premium unleaded ,300,6,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,30,20,1,0,0,0,1,0,0,0,47250
BMW,2015,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,33,22,0,0,0,0,1,0,0,0,41850
BMW,2015,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,33,22,0,0,0,0,1,0,0,0,41850
BMW,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,34,22,0,0,0,0,1,0,0,0,43000
BMW,2016,premium unleaded ,300,6,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,30,20,1,0,0,0,1,0,0,0,49200
BMW,2017,premium unleaded ,320,6,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,30,20,1,0,0,0,1,0,0,0,49650
BMW,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,4,Midsize,4dr Hatchback,33,23,0,0,0,0,1,0,0,0,43950
BMW,2015,premium unleaded ,241,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,33,22,0,0,0,0,1,0,0,0,41950
BMW,2015,premium unleaded ,335,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,33,25,1,1,0,0,1,0,1,0,50150
BMW,2015,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,35,23,1,0,0,0,1,0,0,0,37500
BMW,2015,premium unleaded ,300,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,32,21,1,1,0,0,1,0,0,0,43750
BMW,2015,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,45,32,0,0,0,0,1,0,0,0,39000
BMW,2015,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,33,22,0,0,0,0,1,0,0,0,39500
BMW,2015,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,33,22,0,0,0,0,1,0,0,0,39500
BMW,2015,premium unleaded ,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,35,23,0,0,0,0,1,0,0,0,34950
BMW,2015,premium unleaded ,300,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,30,20,1,0,0,0,1,0,0,0,45750
BMW,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,43,31,0,0,0,0,1,0,0,0,43450
BMW,2015,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,35,23,1,0,0,0,1,0,0,0,37500
BMW,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,43,31,0,0,0,0,1,0,0,0,41000
BMW,2015,premium unleaded ,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,36,24,0,0,0,0,1,0,0,0,32950
BMW,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,40,30,0,0,0,0,1,0,0,0,41850
BMW,2016,premium unleaded ,320,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,33,22,1,1,0,0,1,0,0,0,47800
BMW,2016,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,42,32,0,0,0,0,1,0,0,0,39850
BMW,2016,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,34,22,1,0,0,0,1,0,0,0,38350
BMW,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,34,22,0,0,0,0,1,0,0,0,40350
BMW,2016,premium unleaded ,240,4,MANUAL,rear wheel drive,4,Midsize,Sedan,34,22,1,0,0,0,1,0,0,0,38350
BMW,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,34,22,0,0,0,0,1,0,0,0,42650
BMW,2016,premium unleaded ,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,36,24,0,0,0,0,1,0,0,0,33150
BMW,2016,premium unleaded ,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,35,23,0,0,0,0,1,0,0,0,35150
BMW,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,40,30,0,0,0,0,1,0,0,0,44150
BMW,2016,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,33,22,1,1,0,0,1,0,0,0,45800
BMW,2017,premium unleaded ,248,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,34,23,1,0,0,0,1,0,0,0,38750
BMW,2017,premium unleaded ,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,34,23,0,0,0,0,1,0,0,0,35450
BMW,2017,premium unleaded ,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,35,23,0,0,0,0,1,0,0,0,33450
BMW,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,33,23,0,0,0,0,1,0,0,0,40750
BMW,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Sedan,40,30,0,0,0,0,1,0,0,0,42250
BMW,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,33,23,0,0,0,0,1,0,0,0,42950
BMW,2017,diesel,180,4,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,42,32,0,0,0,0,1,0,0,0,40250
BMW,2017,premium unleaded ,320,6,AUTOMATIC,all wheel drive,4,Midsize,Sedan,31,21,1,0,0,0,1,0,0,0,49900
BMW,2017,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,4,Midsize,Sedan,32,21,1,1,0,0,1,0,0,0,47900
BMW,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Midsize,Wagon,40,30,0,0,0,0,1,0,0,0,44450
Chrysler,2015,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,37570
Chrysler,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,0,0,0,0,0,0,0,0,31695
Chrysler,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,0,0,0,0,0,0,0,0,38070
Chrysler,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,44895
Chrysler,2015,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1,0,0,0,0,0,0,0,35070
Chrysler,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1,0,0,0,0,0,0,0,42395
Chrysler,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,34195
Chrysler,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,40570
Chrysler,2016,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,38095
Chrysler,2016,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1,0,0,0,0,0,0,0,35595
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,45190
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,0,0,0,0,0,0,0,0,32260
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,37755
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,41055
Chrysler,2016,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1,0,0,0,0,0,0,0,36090
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,1,0,0,0,0,0,0,0,42690
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,0,0,0,0,0,0,0,0,38555
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,31,19,0,0,0,0,0,0,0,0,35255
Chrysler,2016,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,38590
Chrysler,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,34760
Chrysler,2017,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,41135
Chrysler,2017,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,45270
Chrysler,2017,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,38670
Chrysler,2017,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,30,19,1,0,0,0,0,0,0,0,38635
Chrysler,2017,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,30,19,1,0,0,0,0,0,0,0,36170
Chrysler,2017,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,38175
Chrysler,2017,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,30,19,0,0,0,0,0,0,0,0,32340
Chrysler,2017,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,30,19,1,0,0,0,0,0,0,0,42770
Chrysler,2017,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Large,Sedan,27,18,0,0,0,0,0,0,0,0,34840
Chrysler,2017,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Large,Sedan,30,19,1,0,0,0,0,0,0,0,35675
Chrysler,2002,premium unleaded ,250,6,AUTOMATIC,front wheel drive,4,Large,Sedan,24,16,1,0,0,0,0,0,0,0,32065
Chrysler,2002,premium unleaded ,250,6,AUTOMATIC,front wheel drive,4,Large,Sedan,24,16,1,0,0,0,0,0,0,0,28540
Chrysler,2003,premium unleaded ,255,6,AUTOMATIC,front wheel drive,4,Large,Sedan,25,16,1,0,0,0,0,0,0,0,32315
Chrysler,2003,regular unleaded,250,6,AUTOMATIC,front wheel drive,4,Large,Sedan,25,16,1,0,0,0,0,0,0,0,28885
Chrysler,2004,regular unleaded,250,6,AUTOMATIC,front wheel drive,4,Large,Sedan,25,16,1,0,0,0,0,0,0,0,29185
Chrysler,2004,premium unleaded ,255,6,AUTOMATIC,front wheel drive,4,Large,Sedan,25,16,1,0,0,0,0,0,0,0,32615
Nissan,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,23,17,1,1,0,0,0,0,0,0,36550
Nissan,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,23,17,1,1,0,0,0,0,0,0,41250
Nissan,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,24,17,1,1,0,0,0,0,0,0,30600
Nissan,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,24,17,1,1,0,0,0,0,0,0,37100
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Coupe,25,18,1,1,0,0,0,0,0,0,27900
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Coupe,25,18,1,1,0,0,0,0,0,0,32700
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Convertible,24,17,1,1,0,0,0,0,0,0,40250
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Convertible,24,17,1,1,0,0,0,0,0,0,35550
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Coupe,25,18,1,1,0,0,0,0,0,0,36100
Nissan,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,24,17,1,1,0,0,0,0,0,0,33200
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Convertible,24,17,1,1,0,0,0,0,0,0,37900
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Coupe,25,18,1,1,0,0,0,0,0,0,29600
Nissan,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Coupe,25,18,1,1,0,0,0,0,0,1,38070
Nissan,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,23,17,1,1,0,0,0,0,0,0,38900
Nissan,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,24,17,1,1,0,0,0,0,0,0,33840
Nissan,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Convertible,24,17,1,1,0,0,0,0,0,0,38630
Nissan,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,23,17,1,1,0,0,0,0,0,0,39630
Nissan,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,24,17,1,1,0,0,0,0,0,0,37740
Nissan,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,23,17,1,1,0,0,0,0,0,0,41980
Nissan,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Convertible,24,17,1,1,0,0,0,0,0,0,36280
Nissan,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Coupe,25,18,1,1,0,0,0,0,0,0,36740
Nissan,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Convertible,24,17,1,1,0,0,0,0,0,0,40980
Nissan,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Coupe,25,18,1,1,0,0,0,0,0,1,38680
Nissan,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Coupe,25,18,1,1,0,0,0,0,0,0,28510
Nissan,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Coupe,25,18,1,1,0,0,0,0,0,0,30210
Nissan,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,24,17,1,1,0,0,0,0,0,0,31210
Nissan,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Coupe,25,18,1,1,0,0,0,0,0,0,33340
Nissan,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,23,17,1,1,0,0,0,0,0,0,37280
Nissan,2009,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Convertible,24,17,1,1,0,0,0,0,0,0,41570
Nissan,2009,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Convertible,24,17,1,1,0,0,0,0,0,0,36870
Nissan,2009,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,23,17,1,1,0,0,0,0,0,0,42570
Nissan,2009,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,23,17,1,1,0,0,0,0,0,0,37870
Nissan,2009,regular unleaded,306,6,MANUAL,rear wheel drive,2,Compact,Convertible,24,17,1,1,0,0,0,0,0,0,39220
Nissan,2009,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Compact,Convertible,23,17,1,1,0,0,0,0,0,0,40220
Ferrari,2002,premium unleaded ,400,8,MANUAL,rear wheel drive,2,Compact,Convertible,15,10,1,1,0,1,0,0,0,0,160829
Ferrari,2002,premium unleaded ,400,8,MANUAL,rear wheel drive,2,Compact,Coupe,15,10,1,1,0,1,0,0,0,0,140615
Ferrari,2002,premium unleaded ,400,8,AUTOMATED_MANUAL,rear wheel drive,2,Compact,Coupe,15,10,1,1,0,1,0,0,0,0,150694
Ferrari,2002,premium unleaded ,400,8,AUTOMATED_MANUAL,rear wheel drive,2,Compact,Convertible,15,10,1,1,0,1,0,0,0,0,170829
Ferrari,2003,premium unleaded ,400,8,MANUAL,rear wheel drive,2,Compact,Convertible,15,10,1,1,0,1,0,0,0,0,165986
Ferrari,2003,premium unleaded ,400,8,AUTOMATED_MANUAL,rear wheel drive,2,Compact,Coupe,15,10,1,1,0,1,0,0,0,0,154090
Ferrari,2003,premium unleaded ,400,8,MANUAL,rear wheel drive,2,Compact,Coupe,15,10,1,1,0,1,0,0,0,0,143860
Ferrari,2003,premium unleaded ,400,8,AUTOMATED_MANUAL,rear wheel drive,2,Compact,Convertible,15,10,1,1,0,1,0,0,0,0,176287
Ferrari,2004,premium unleaded ,400,8,AUTOMATED_MANUAL,rear wheel drive,2,Compact,Coupe,15,10,1,1,0,1,0,0,0,0,157767
Ferrari,2004,premium unleaded ,425,8,AUTOMATED_MANUAL,rear wheel drive,2,Compact,Coupe,15,10,1,1,0,1,0,0,0,1,187124
Ferrari,2004,premium unleaded ,400,8,MANUAL,rear wheel drive,2,Compact,Coupe,15,10,1,1,0,1,0,0,0,0,147332
Ferrari,2004,premium unleaded ,400,8,MANUAL,rear wheel drive,2,Compact,Convertible,15,10,1,1,0,1,0,0,0,0,169900
Ferrari,2004,premium unleaded ,400,8,AUTOMATED_MANUAL,rear wheel drive,2,Compact,Convertible,15,10,1,1,0,1,0,0,0,0,180408
Nissan,2015,premium unleaded ,350,6,AUTOMATIC,rear wheel drive,2,Compact,Coupe,26,19,1,1,0,0,0,0,0,1,46790
