origin_country,year,fuel,hp,cylinders,transmission,drive,doors,style,mc_performance,mc_high_performance,mc_crossover,mc_luxury,mc_flex_fuel,mc_hybrid,mc_tuned,msrp,avgmpg
German,2016,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,1,0,0,1,48750,25.5
German,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,2,Car,1,0,0,1,0,0,0,34850,29
German,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,2,Car,0,0,0,1,0,0,0,40650,28
German,2016,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,1,0,0,1,44150,25.5
German,2016,premium unleaded ,240,4,MANUAL,rear wheel drive,2,Car,1,0,0,1,0,0,0,32850,28
German,2016,premium unleaded ,320,6,AUTOMATIC,all wheel drive,2,Car,1,1,0,1,0,0,1,46150,25
German,2016,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,1,0,0,1,50750,25
German,2017,premium unleaded ,335,6,AUTOMATIC,all wheel drive,2,Car,1,1,0,1,0,0,1,46450,26
German,2017,premium unleaded ,335,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,1,0,0,1,49050,26.5
German,2017,premium unleaded ,335,6,AUTOMATIC,all wheel drive,2,Car,1,1,0,1,0,0,1,51050,26.5
German,2017,premium unleaded ,335,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,1,0,0,1,44450,26.5
German,2017,premium unleaded ,248,4,AUTOMATIC,rear wheel drive,2,Car,1,0,0,1,0,0,0,38950,28.5
German,2017,premium unleaded ,248,4,AUTOMATIC,rear wheel drive,2,Car,1,0,0,1,0,0,0,33150,29.5
German,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,2,Car,1,0,0,1,0,0,0,35150,28.5
German,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,2,Car,0,0,0,1,0,0,0,40950,28
American,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,25170,29.5
American,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,23950,29.5
American,2015,regular unleaded,295,6,AUTOMATIC,all wheel drive,4,Car,1,0,0,0,1,0,0,29370,23.5
American,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,21995,29.5
American,2015,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,1,0,0,0,1,0,0,26625,29.5
American,2015,regular unleaded,295,6,AUTOMATIC,all wheel drive,4,Car,1,0,0,0,1,0,0,30825,23.5
American,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,21995,29.5
American,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,27795,29.5
American,2016,regular unleaded,295,6,AUTOMATIC,all wheel drive,4,Car,1,0,0,0,1,0,0,31785,23.5
American,2016,regular unleaded,295,6,AUTOMATIC,all wheel drive,4,Car,1,0,0,0,1,0,0,29905,23.5
American,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,22490,29.5
American,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,27570,29.5
American,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,25690,29.5
American,2016,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,24490,29.5
American,2017,regular unleaded,295,6,AUTOMATIC,all wheel drive,4,Car,1,0,0,0,1,0,0,29905,23
American,2017,regular unleaded,295,6,AUTOMATIC,all wheel drive,4,Car,1,0,0,0,1,0,0,31785,23
American,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,26685,29.5
American,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,22490,29.5
American,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,25690,29.5
American,2017,regular unleaded,295,6,AUTOMATIC,all wheel drive,4,Car,1,0,0,0,1,0,0,30900,23
American,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,27795,29.5
American,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,21995,29.5
American,2017,regular unleaded,184,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,1,0,0,24490,29.5
Japanese,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Car,0,0,0,0,0,0,0,16020,32
Japanese,2012,regular unleaded,100,4,MANUAL,front wheel drive,4,Car,0,0,0,0,0,0,0,14530,32
Japanese,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,0,0,0,16860,31
Japanese,2012,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,0,0,0,15370,31
Japanese,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,0,0,0,17050,31
Japanese,2013,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,0,0,0,15560,31
Japanese,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Car,0,0,0,0,0,0,0,16210,32
Japanese,2013,regular unleaded,100,4,MANUAL,front wheel drive,4,Car,0,0,0,0,0,0,0,14720,32
Japanese,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,0,0,0,17050,31
Japanese,2014,regular unleaded,100,4,AUTOMATIC,front wheel drive,4,Car,0,0,0,0,0,0,0,15560,31
Japanese,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Car,0,0,0,0,0,0,0,16210,32
Japanese,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Car,0,0,0,0,0,0,0,14720,32
German,2015,premium unleaded ,300,6,AUTOMATIC,all wheel drive,4,Car,1,0,0,1,0,0,0,47250,25
German,2015,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,41850,27.5
German,2015,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,41850,27.5
German,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,43000,28
German,2016,premium unleaded ,300,6,AUTOMATIC,all wheel drive,4,Car,1,0,0,1,0,0,0,49200,25
German,2017,premium unleaded ,320,6,AUTOMATIC,all wheel drive,4,Car,1,0,0,1,0,0,0,49650,25
German,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,43950,28
German,2015,premium unleaded ,241,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,41950,27.5
German,2015,premium unleaded ,335,6,AUTOMATIC,rear wheel drive,4,Car,1,1,0,1,0,1,0,50150,29
German,2015,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,4,Car,1,0,0,1,0,0,0,37500,29
German,2015,premium unleaded ,300,6,AUTOMATIC,rear wheel drive,4,Car,1,1,0,1,0,0,0,43750,26.5
German,2015,diesel,180,4,AUTOMATIC,rear wheel drive,4,Car,0,0,0,1,0,0,0,39000,38.5
German,2015,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,39500,27.5
German,2015,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,39500,27.5
German,2015,premium unleaded ,180,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,34950,29
German,2015,premium unleaded ,300,6,AUTOMATIC,all wheel drive,4,Car,1,0,0,1,0,0,0,45750,25
German,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,43450,37
German,2015,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,4,Car,1,0,0,1,0,0,0,37500,29
German,2015,diesel,180,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,41000,37
German,2015,premium unleaded ,180,4,AUTOMATIC,rear wheel drive,4,Car,0,0,0,1,0,0,0,32950,30
German,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,41850,35
German,2016,premium unleaded ,320,6,AUTOMATIC,all wheel drive,4,Car,1,1,0,1,0,0,0,47800,27.5
German,2016,diesel,180,4,AUTOMATIC,rear wheel drive,4,Car,0,0,0,1,0,0,0,39850,37
German,2016,premium unleaded ,240,4,AUTOMATIC,rear wheel drive,4,Car,1,0,0,1,0,0,0,38350,28
German,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,40350,28
German,2016,premium unleaded ,240,4,MANUAL,rear wheel drive,4,Car,1,0,0,1,0,0,0,38350,28
German,2016,premium unleaded ,240,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,42650,28
German,2016,premium unleaded ,180,4,AUTOMATIC,rear wheel drive,4,Car,0,0,0,1,0,0,0,33150,30
German,2016,premium unleaded ,180,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,35150,29
German,2016,diesel,180,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,44150,35
German,2016,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,4,Car,1,1,0,1,0,0,0,45800,27.5
German,2017,premium unleaded ,248,4,AUTOMATIC,rear wheel drive,4,Car,1,0,0,1,0,0,0,38750,28.5
German,2017,premium unleaded ,180,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,35450,28.5
German,2017,premium unleaded ,180,4,AUTOMATIC,rear wheel drive,4,Car,0,0,0,1,0,0,0,33450,29
German,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,40750,28
German,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,42250,35
German,2017,premium unleaded ,248,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,42950,28
German,2017,diesel,180,4,AUTOMATIC,rear wheel drive,4,Car,0,0,0,1,0,0,0,40250,37
German,2017,premium unleaded ,320,6,AUTOMATIC,all wheel drive,4,Car,1,0,0,1,0,0,0,49900,26
German,2017,premium unleaded ,320,6,AUTOMATIC,rear wheel drive,4,Car,1,1,0,1,0,0,0,47900,26.5
German,2017,diesel,180,4,AUTOMATIC,all wheel drive,4,Car,0,0,0,1,0,0,0,44450,35
American,2015,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,37570,22.5
American,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Car,0,0,0,0,0,0,0,31695,25
American,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Car,0,0,0,0,0,0,0,38070,25
American,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,44895,22.5
American,2015,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Car,1,0,0,0,0,0,0,35070,25
American,2015,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Car,1,0,0,0,0,0,0,42395,25
American,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,34195,22.5
American,2015,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,40570,22.5
American,2016,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,38095,22.5
American,2016,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Car,1,0,0,0,0,0,0,35595,25
American,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,45190,22.5
American,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Car,0,0,0,0,0,0,0,32260,25
American,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,37755,22.5
American,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,41055,22.5
American,2016,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Car,1,0,0,0,0,0,0,36090,25
American,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Car,1,0,0,0,0,0,0,42690,25
American,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Car,0,0,0,0,0,0,0,38555,25
American,2016,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Car,0,0,0,0,0,0,0,35255,25
American,2016,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,38590,22.5
American,2016,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,34760,22.5
American,2017,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,41135,22.5
American,2017,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,45270,22.5
American,2017,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,38670,22.5
American,2017,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Car,1,0,0,0,0,0,0,38635,24.5
American,2017,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Car,1,0,0,0,0,0,0,36170,24.5
American,2017,regular unleaded,300,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,38175,22.5
American,2017,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Car,0,0,0,0,0,0,0,32340,24.5
American,2017,regular unleaded,292,6,AUTOMATIC,rear wheel drive,4,Car,1,0,0,0,0,0,0,42770,24.5
American,2017,regular unleaded,292,6,AUTOMATIC,all wheel drive,4,Car,0,0,0,0,0,0,0,34840,22.5
American,2017,regular unleaded,300,6,AUTOMATIC,rear wheel drive,4,Car,1,0,0,0,0,0,0,35675,24.5
American,2002,premium unleaded ,250,6,AUTOMATIC,front wheel drive,4,Car,1,0,0,0,0,0,0,32065,20
American,2002,premium unleaded ,250,6,AUTOMATIC,front wheel drive,4,Car,1,0,0,0,0,0,0,28540,20
American,2003,premium unleaded ,255,6,AUTOMATIC,front wheel drive,4,Car,1,0,0,0,0,0,0,32315,20.5
American,2003,regular unleaded,250,6,AUTOMATIC,front wheel drive,4,Car,1,0,0,0,0,0,0,28885,20.5
American,2004,regular unleaded,250,6,AUTOMATIC,front wheel drive,4,Car,1,0,0,0,0,0,0,29185,20.5
American,2004,premium unleaded ,255,6,AUTOMATIC,front wheel drive,4,Car,1,0,0,0,0,0,0,32615,20.5
Japanese,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,36550,20
Japanese,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,41250,20
Japanese,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,30600,20.5
Japanese,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,37100,20.5
Japanese,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,27900,21.5
Japanese,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,32700,21.5
Japanese,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,40250,20.5
Japanese,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,35550,20.5
Japanese,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,36100,21.5
Japanese,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,33200,20.5
Japanese,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,37900,20.5
Japanese,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,29600,21.5
Japanese,2007,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,1,38070,21.5
Japanese,2007,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,38900,20
Japanese,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,33840,20.5
Japanese,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,38630,20.5
Japanese,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,39630,20
Japanese,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,37740,20.5
Japanese,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,41980,20
Japanese,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,36280,20.5
Japanese,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,36740,21.5
Japanese,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,40980,20.5
Japanese,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,1,38680,21.5
Japanese,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,28510,21.5
Japanese,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,30210,21.5
Japanese,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,31210,20.5
Japanese,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,33340,21.5
Japanese,2008,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,37280,20
Japanese,2009,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,41570,20.5
Japanese,2009,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,36870,20.5
Japanese,2009,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,42570,20
Japanese,2009,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,37870,20
Japanese,2009,regular unleaded,306,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,39220,20.5
Japanese,2009,regular unleaded,306,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,40220,20
Japanese,2015,premium unleaded ,350,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,1,46790,22.5
Japanese,2015,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,48100,20.5
Japanese,2015,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,29990,22
Japanese,2015,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,41820,21.5
Japanese,2015,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,31290,22.5
Japanese,2015,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,34870,22.5
Japanese,2015,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,33570,22
Japanese,2015,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,46570,21.5
Japanese,2015,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,37970,22
Japanese,2015,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,37070,22
Japanese,2015,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,49400,21.5
Japanese,2015,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,45270,20.5
Japanese,2015,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,39270,22.5
Japanese,2015,premium unleaded ,350,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,1,45490,22
Japanese,2015,premium unleaded ,350,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,1,41990,22
Japanese,2015,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,38370,22.5
Japanese,2015,premium unleaded ,350,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,1,43290,22.5
Japanese,2016,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,41820,21.5
Japanese,2016,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,48100,20.5
Japanese,2016,premium unleaded ,350,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,1,43290,22.5
Japanese,2016,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,39270,22.5
Japanese,2016,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,34870,22.5
Japanese,2016,premium unleaded ,350,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,1,41990,22
Japanese,2016,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,38370,22.5
Japanese,2016,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,45270,20.5
Japanese,2016,premium unleaded ,350,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,1,45490,22
Japanese,2016,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,29990,22
Japanese,2016,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,46570,21.5
Japanese,2016,premium unleaded ,350,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,1,46790,22.5
Japanese,2016,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,49400,21.5
Japanese,2016,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,37070,22
Japanese,2016,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,31290,22.5
Japanese,2016,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,37970,22
Japanese,2016,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,33570,22
Japanese,2017,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,37970,22
Japanese,2017,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,38370,22.5
Japanese,2017,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,34870,22.5
Japanese,2017,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,29990,22
Japanese,2017,premium unleaded ,350,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,1,45490,22
Japanese,2017,premium unleaded ,350,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,1,41990,22
Japanese,2017,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,45270,20.5
Japanese,2017,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,33570,22
Japanese,2017,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,48100,20.5
Japanese,2017,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,39270,22.5
Japanese,2017,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,46570,21.5
Japanese,2017,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,49400,21.5
Japanese,2017,premium unleaded ,332,6,MANUAL,rear wheel drive,2,Car,1,1,0,0,0,0,0,37070,22
Japanese,2017,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,41820,21.5
Japanese,2017,premium unleaded ,350,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,1,46790,22.5
Japanese,2017,premium unleaded ,350,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,1,43290,22.5
Japanese,2017,premium unleaded ,332,6,AUTOMATIC,rear wheel drive,2,Car,1,1,0,0,0,0,0,31290,22.5
Japanese,2015,regular unleaded,184,4,MANUAL,front wheel drive,4,Car,1,0,0,0,0,0,0,25045,31
